week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
21-Dec-19,41940,"san jose-sunnyvale-santa clara, ca",36,4.50%,-29.60%,7,13.20%,26.70%,1.30%,-79.10%,-5.60%
21-Dec-19,47260,"virginia beach-norfolk-newport news, va-nc",37,10.40%,-23.80%,-3,-4.10%,-33.00%,-0.80%,-39.90%,-0.90%
21-Dec-19,33340,"milwaukee-waukesha-west allis, wi",38,7.30%,-10.50%,2,3.00%,0.60%,0.30%,4.60%,0.30%
21-Dec-19,39300,"providence-warwick, ri-ma",39,5.50%,-21.10%,1,1.40%,9.00%,0.80%,-22.20%,-0.20%
21-Dec-19,27260,"jacksonville, fl",40,3.30%,-7.20%,-6,-7.50%,18.20%,0.40%,-47.50%,-2.90%
21-Dec-19,36420,"oklahoma city, ok",41,4.60%,-16.80%,-11,-14.90%,9.70%,1.40%,-1.90%,0.60%
21-Dec-19,31140,"louisville/jefferson county, ky-in",42,-6.00%,-7.50%,-1,-1.50%,-7.20%,-0.10%,-10.40%,-0.10%
21-Dec-19,32820,"memphis, tn-ms-ar",43,13.20%,-13.50%,-8,-10.30%,19.30%,0.90%,-13.20%,-0.40%
21-Dec-19,35380,"new orleans-metairie, la",44,1.30%,-9.90%,-2,-2.40%,11.00%,0.60%,-26.50%,-0.80%
21-Dec-19,40060,"richmond, va",45,4.90%,-9.00%,-2,-2.90%,4.50%,0.30%,40.40%,0.80%
21-Dec-19,39580,"raleigh, nc",46,4.10%,-7.00%,-14,-16.50%,-1.40%,0.10%,-5.10%,-0.10%
21-Dec-19,15380,"buffalo-cheektowaga-niagara falls, ny",47,10.60%,-16.10%,8,12.70%,12.50%,-1.80%,22.70%,-1.00%
21-Dec-19,25540,"hartford-west hartford-east hartford, ct",48,5.40%,-16.60%,-10,-11.20%,-6.70%,0.30%,0.80%,0.50%
21-Dec-19,13820,"birmingham-hoover, al",49,11.10%,-15.20%,-8,-8.80%,3.30%,0.50%,-37.70%,-1.00%
21-Dec-19,40380,"rochester, ny",50,8.30%,-21.20%,-7,-9.90%,-19.10%,-0.10%,-2.90%,0.50%
21-Dec-19,46060,"tucson, az",51,5.30%,-22.30%,-4,-6.60%,-2.40%,0.50%,-66.60%,-4.10%
21-Dec-19,41620,"salt lake city, ut",52,13.70%,-33.80%,4,6.90%,-20.10%,0.10%,-17.80%,0.10%
21-Dec-19,24340,"grand rapids-wyoming, mi",53,1.90%,-4.00%,-1,-1.40%,-6.30%,-0.20%,-22.10%,-1.10%
21-Dec-19,46140,"tulsa, ok",54,16.30%,-23.90%,-8,-11.30%,6.10%,1.40%,-30.40%,-0.50%
21-Dec-19,10580,"albany-schenectady-troy, ny",55,4.90%,-12.80%,2,2.10%,26.30%,0.70%,-51.60%,-2.00%
21-Dec-19,10740,"albuquerque, nm",56,10.40%,-25.80%,-2,-2.90%,-0.90%,0.80%,-65.70%,-4.80%
21-Dec-19,36540,"omaha-council bluffs, ne-ia",57,1.60%,-8.20%,1,1.70%,16.40%,-1.30%,36.60%,-0.20%
21-Dec-19,49340,"worcester, ma-ct",58,11.70%,-17.90%,1,1.30%,-7.40%,0.40%,-7.50%,0.30%
21-Dec-19,28940,"knoxville, tn",59,8.20%,-17.70%,-8,-9.40%,8.40%,0.70%,13.30%,0.60%
21-Dec-19,14860,"bridgeport-stamford-norwalk, ct",60,-4.90%,-11.50%,-6,-5.40%,-14.40%,-0.10%,-3.90%,0.10%
21-Dec-19,24860,"greenville-anderson-mauldin, sc",61,2.00%,-5.30%,-6,-7.20%,31.10%,1.10%,-48.70%,-2.50%
21-Dec-19,35840,"north port-sarasota-bradenton, fl",62,5.50%,-16.10%,1,1.30%,7.80%,0.70%,-9.80%,0.00%
21-Dec-19,35300,"new haven-milford, ct",63,0.20%,-18.40%,-11,-11.60%,-22.70%,-0.10%,0.00%,0.50%
21-Dec-19,19380,"dayton, oh",64,9.40%,-26.50%,-4,-6.10%,-13.30%,0.20%,-28.40%,-0.50%
21-Dec-19,46520,"urban honolulu, hi",65,-4.90%,-1.10%,4,5.60%,-17.40%,-0.90%,8.00%,0.30%
21-Dec-19,10900,"allentown-bethlehem-easton, pa-nj",66,8.60%,-22.00%,-7,-8.30%,-26.20%,-0.40%,-14.60%,0.20%
21-Dec-19,17900,"columbia, sc",67,-1.30%,-10.60%,-15,-17.60%,7.40%,0.90%,61.70%,1.90%
21-Dec-19,12940,"baton rouge, la",68,1.30%,0.00%,7,7.40%,6.00%,-0.70%,16.20%,-0.20%
21-Dec-19,24660,"greensboro-high point, nc",69,11.30%,-19.70%,-6,-7.10%,9.40%,1.20%,-38.90%,-1.30%
21-Dec-19,23420,"fresno, ca",70,7.20%,-13.90%,-7,-10.90%,-9.40%,-0.20%,5.30%,0.40%
21-Dec-19,16700,"charleston-north charleston, sc",71,6.10%,-9.00%,-1,-1.10%,2.00%,0.30%,7.00%,0.40%
21-Dec-19,30780,"little rock-north little rock-conway, ar",72,9.20%,-22.40%,-10,-12.50%,-6.80%,0.60%,-22.00%,-0.20%
21-Dec-19,15980,"cape coral-fort myers, fl",73,6.70%,-18.80%,-2,-2.50%,-20.00%,-0.30%,-9.60%,0.10%
21-Dec-19,10420,"akron, oh",74,-0.60%,-5.10%,-8,-11.30%,-8.80%,-0.30%,-29.60%,-1.00%
21-Dec-19,21340,"el paso, tx",75,7.50%,-15.80%,-2,-2.50%,-60.80%,-5.10%,-66.50%,-2.90%
21-Dec-19,37100,"oxnard-thousand oaks-ventura, ca",76,15.00%,-25.40%,-6,-9.10%,15.00%,1.30%,-66.40%,-2.80%
21-Dec-19,17820,"colorado springs, co",77,12.20%,-24.90%,-1,-1.60%,-9.40%,0.60%,-28.70%,-0.50%
21-Dec-19,31540,"madison, wi",78,7.60%,-6.30%,10,12.00%,1.50%,0.20%,-78.70%,-5.20%
21-Dec-19,12540,"bakersfield, ca",79,4.70%,-17.40%,-10,-14.70%,6.80%,0.90%,-32.50%,-1.00%
21-Dec-19,49180,"winston-salem, nc",80,20.00%,-12.30%,-14,-15.10%,-5.80%,0.10%,-49.30%,-1.40%
21-Dec-19,45060,"syracuse, ny",81,2.90%,-8.40%,-7,-7.40%,-4.20%,-1.00%,-29.40%,-1.20%
21-Dec-19,19660,"deltona-daytona beach-ormond beach, fl",82,-1.40%,-12.10%,-5,-6.20%,6.90%,0.50%,-13.50%,-0.40%
21-Dec-19,14260,"boise city, id",83,7.70%,-3.30%,5,9.40%,5.10%,0.50%,-7.10%,-0.30%
21-Dec-19,48620,"wichita, ks",84,7.60%,-25.90%,-1,-1.40%,4.20%,-0.50%,-18.80%,-0.90%
21-Dec-19,45780,"toledo, oh",85,14.70%,-6.90%,-9,-12.20%,28.80%,0.70%,62.10%,1.60%
21-Dec-19,19780,"des moines-west des moines, ia",86,-9.60%,5.20%,-19,-19.80%,46.00%,1.20%,197.80%,3.70%
21-Dec-19,44140,"springfield, ma",87,10.00%,-18.20%,-8,-10.00%,12.50%,1.20%,4.30%,0.70%
21-Dec-19,29460,"lakeland-winter haven, fl",88,2.20%,-3.30%,2,2.90%,-3.30%,-0.40%,7.30%,0.10%
21-Dec-19,37340,"palm bay-melbourne-titusville, fl",89,7.30%,-23.50%,-4,-6.00%,-8.50%,0.30%,-64.50%,-4.00%
21-Dec-19,32580,"mcallen-edinburg-mission, tx",90,4.50%,-9.20%,-9,-9.60%,-26.20%,-0.90%,47.20%,1.00%
21-Dec-19,25420,"harrisburg-carlisle, pa",91,9.90%,-22.80%,-14,-15.40%,0.00%,1.20%,-33.30%,-0.50%
21-Dec-19,42540,"scranton--wilkes-barre--hazleton, pa",92,6.70%,-15.40%,-5,-4.70%,-24.70%,-0.40%,-48.90%,-1.50%
21-Dec-19,12260,"augusta-richmond county, ga-sc",93,7.00%,-16.20%,-13,-13.00%,5.50%,-0.40%,-30.30%,-1.40%
21-Dec-19,49660,"youngstown-warren-boardman, oh-pa",94,0.00%,-5.40%,-7,-7.50%,16.90%,0.60%,-7.70%,-0.10%
21-Dec-19,44700,"stockton-lodi, ca",95,12.30%,-17.80%,1,1.80%,-8.80%,-0.20%,-49.60%,-2.70%
21-Dec-19,20500,"durham-chapel hill, nc",96,3.50%,-0.30%,-6,-6.90%,4.20%,0.10%,34.60%,0.80%
21-Dec-19,38860,"portland-south portland, me",97,11.50%,-27.90%,-8,-8.10%,10.60%,1.30%,-28.80%,-0.10%
21-Dec-19,44060,"spokane-spokane valley, wa",98,9.40%,-8.00%,-10,-13.30%,33.80%,1.10%,-64.80%,-2.60%
21-Dec-19,16860,"chattanooga, tn-ga",99,7.80%,-13.40%,0,0.00%,-21.10%,-0.60%,4.90%,0.60%
21-Dec-19,27140,"jackson, ms",100,6.30%,-11.00%,-8,-7.50%,-24.20%,-0.40%,1.40%,0.40%
14-Dec-19,35620,"new york-newark-jersey city, ny-nj-pa",1,6.30%,-5.10%,-1,-1.20%,-8.00%,-0.60%,-8.10%,-0.40%
14-Dec-19,31080,"los angeles-long beach-anaheim, ca",2,15.60%,-28.50%,6,11.10%,-9.30%,0.30%,-64.30%,-3.20%
14-Dec-19,16980,"chicago-naperville-elgin, il-in-wi",3,1.00%,-2.00%,-2,-2.90%,10.60%,0.40%,-44.80%,-2.70%
14-Dec-19,19100,"dallas-fort worth-arlington, tx",4,-0.90%,-2.50%,-2,-3.00%,1.00%,0.00%,-33.50%,-2.70%
14-Dec-19,26420,"houston-the woodlands-sugar land, tx",5,-2.90%,-2.30%,-1,-1.40%,6.00%,0.30%,-27.70%,-1.70%
14-Dec-19,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,13.40%,-24.80%,-2,-2.70%,-23.70%,-0.20%,-23.10%,-0.20%
14-Dec-19,47900,"washington-arlington-alexandria, dc-va-md-wv",7,8.80%,-21.80%,-2,-3.20%,-15.10%,0.40%,-30.50%,-0.60%
14-Dec-19,33100,"miami-fort lauderdale-west palm beach, fl",8,4.10%,-8.10%,-1,-1.10%,32.80%,1.40%,-42.40%,-2.40%
14-Dec-19,12060,"atlanta-sandy springs-roswell, ga",9,1.60%,-3.10%,-1,-1.60%,2.10%,0.10%,-21.80%,-1.10%
14-Dec-19,14460,"boston-cambridge-newton, ma-nh",10,10.10%,-14.50%,5,7.60%,-8.00%,0.20%,-17.80%,-0.30%
14-Dec-19,41860,"san francisco-oakland-hayward, ca",11,5.90%,-24.20%,5,10.00%,-7.00%,0.10%,-71.00%,-4.10%
14-Dec-19,19820,"detroit-warren-dearborn, mi",12,2.30%,-1.70%,2,3.40%,-3.90%,-0.10%,0.00%,0.10%
14-Dec-19,38060,"phoenix-mesa-scottsdale, az",13,11.60%,-27.70%,-2,-3.60%,-4.50%,0.60%,-31.10%,-1.40%
14-Dec-19,42660,"seattle-tacoma-bellevue, wa",14,4.50%,-28.40%,3,5.10%,4.10%,0.50%,-65.00%,-4.40%
14-Dec-19,33460,"minneapolis-st. paul-bloomington, mn-wi",15,-2.70%,11.40%,-6,-9.20%,6.50%,0.20%,-13.30%,-0.50%
14-Dec-19,40140,"riverside-san bernardino-ontario, ca",16,3.80%,-21.50%,4,6.80%,-4.60%,0.40%,-48.60%,-2.50%
14-Dec-19,45300,"tampa-st. petersburg-clearwater, fl",17,4.90%,-16.40%,3,5.00%,-5.30%,0.20%,-29.20%,-1.40%
14-Dec-19,41740,"san diego-carlsbad, ca",18,11.80%,-23.10%,3,6.10%,-2.60%,-1.70%,-34.90%,-2.80%
14-Dec-19,41180,"st. louis, mo-il",19,5.80%,-11.90%,-1,-1.30%,21.40%,1.20%,-47.00%,-2.60%
14-Dec-19,19740,"denver-aurora-lakewood, co",20,4.30%,-8.70%,2,3.50%,-10.00%,-0.40%,-35.60%,-1.50%
14-Dec-19,12580,"baltimore-columbia-towson, md",21,3.00%,-15.10%,-1,-1.40%,-16.10%,0.00%,-10.90%,0.30%
14-Dec-19,38300,"pittsburgh, pa",22,9.20%,-13.30%,-6,-6.70%,2.90%,0.60%,-5.50%,0.20%
14-Dec-19,38900,"portland-vancouver-hillsboro, or-wa",23,0.00%,-16.10%,1,1.50%,14.90%,-1.00%,32.80%,-0.30%
14-Dec-19,16740,"charlotte-concord-gastonia, nc-sc",24,4.50%,-17.10%,-5,-7.10%,2.50%,0.70%,-47.80%,-2.90%
14-Dec-19,36740,"orlando-kissimmee-sanford, fl",25,5.70%,-13.30%,-2,-2.90%,4.10%,0.50%,-18.00%,-0.60%
14-Dec-19,17460,"cleveland-elyria, oh",26,2.80%,-7.10%,-2,-2.70%,3.10%,0.30%,-16.50%,-0.60%
14-Dec-19,41700,"san antonio-new braunfels, tx",27,-1.90%,9.70%,-6,-8.20%,17.10%,0.30%,3.40%,-0.30%
14-Dec-19,17140,"cincinnati, oh-ky-in",28,8.30%,-21.80%,-2,-3.00%,-5.20%,0.40%,-5.60%,0.30%
14-Dec-19,40900,"sacramento--roseville--arden-arcade, ca",29,11.40%,-26.80%,2,3.40%,-10.10%,0.20%,-61.20%,-4.00%
14-Dec-19,28140,"kansas city, mo-ks",30,8.20%,-11.90%,-1,-1.30%,3.00%,-1.20%,-5.10%,-1.10%
14-Dec-19,18140,"columbus, oh",31,9.90%,-7.50%,0,0.00%,6.30%,0.50%,-19.30%,-0.90%
14-Dec-19,26900,"indianapolis-carmel-anderson, in",32,6.30%,-8.10%,-3,-4.20%,8.60%,-0.20%,24.80%,0.50%
14-Dec-19,29820,"las vegas-henderson-paradise, nv",33,-0.60%,6.20%,7,13.20%,1.10%,0.30%,-5.80%,-0.10%
14-Dec-19,12420,"austin-round rock, tx",34,0.40%,-13.00%,-6,-8.50%,3.40%,0.60%,8.50%,0.80%
14-Dec-19,34980,"nashville-davidson--murfreesboro--franklin, tn",35,3.60%,-7.50%,-5,-10.00%,16.60%,1.10%,-6.70%,-0.30%
14-Dec-19,41940,"san jose-sunnyvale-santa clara, ca",36,8.00%,-27.10%,4,7.80%,-19.40%,-0.30%,-79.30%,-5.70%
14-Dec-19,47260,"virginia beach-norfolk-newport news, va-nc",37,9.70%,-23.90%,-3,-4.10%,-11.50%,0.60%,-10.60%,0.50%
14-Dec-19,33340,"milwaukee-waukesha-west allis, wi",38,5.80%,-10.40%,0,0.00%,19.20%,1.10%,-15.50%,-0.50%
14-Dec-19,39300,"providence-warwick, ri-ma",39,5.70%,-22.10%,2,2.90%,-16.90%,-0.10%,-32.20%,-0.70%
14-Dec-19,27260,"jacksonville, fl",40,2.60%,-8.00%,-6,-7.70%,16.80%,0.50%,-38.10%,-2.70%
14-Dec-19,36420,"oklahoma city, ok",41,5.00%,-19.50%,-13,-17.80%,-38.70%,0.20%,-13.50%,1.70%
14-Dec-19,31140,"louisville/jefferson county, ky-in",42,-4.00%,-7.80%,0,0.00%,-2.50%,0.10%,21.30%,0.90%
14-Dec-19,32820,"memphis, tn-ms-ar",43,11.90%,-15.20%,-6,-8.30%,-6.30%,-0.20%,-22.60%,-0.80%
14-Dec-19,35380,"new orleans-metairie, la",44,1.80%,-9.70%,-2,-2.50%,9.80%,0.60%,-14.50%,-0.30%
14-Dec-19,40060,"richmond, va",45,3.50%,-7.90%,0,0.00%,17.60%,0.80%,1.10%,0.10%
14-Dec-19,39580,"raleigh, nc",46,2.20%,-5.50%,-15,-18.30%,15.50%,0.80%,22.90%,0.90%
14-Dec-19,15380,"buffalo-cheektowaga-niagara falls, ny",47,5.60%,-16.50%,8,13.10%,-25.10%,-4.50%,-8.70%,-2.20%
14-Dec-19,25540,"hartford-west hartford-east hartford, ct",48,5.80%,-16.20%,-9,-10.60%,1.80%,0.80%,-2.60%,0.50%
14-Dec-19,13820,"birmingham-hoover, al",49,11.40%,-14.60%,-8,-9.10%,7.20%,0.70%,-21.00%,-0.60%
14-Dec-19,40380,"rochester, ny",50,8.10%,-19.40%,-10,-14.30%,24.80%,2.40%,-11.70%,0.10%
14-Dec-19,46060,"tucson, az",51,4.70%,-21.20%,-2,-3.40%,-6.30%,0.30%,-46.70%,-2.40%
14-Dec-19,41620,"salt lake city, ut",52,11.30%,-31.20%,3,5.60%,-21.00%,0.00%,-20.30%,0.00%
14-Dec-19,24340,"grand rapids-wyoming, mi",53,0.00%,-4.00%,-1,-1.50%,-1.10%,0.20%,6.10%,0.50%
14-Dec-19,46140,"tulsa, ok",54,16.00%,-24.70%,-7,-10.40%,4.00%,1.40%,-32.70%,-0.60%
14-Dec-19,10580,"albany-schenectady-troy, ny",55,4.60%,-13.90%,0,0.00%,-17.90%,-0.40%,-43.60%,-1.70%
14-Dec-19,10740,"albuquerque, nm",56,10.00%,-25.50%,-3,-4.30%,-15.80%,0.00%,-63.60%,-4.10%
14-Dec-19,36540,"omaha-council bluffs, ne-ia",57,1.50%,-8.10%,3,5.60%,47.20%,-0.20%,1.30%,-0.90%
14-Dec-19,49340,"worcester, ma-ct",58,13.00%,-17.30%,2,2.80%,-21.70%,-0.40%,-24.80%,-0.50%
14-Dec-19,28940,"knoxville, tn",59,9.60%,-17.50%,-9,-11.00%,-11.40%,-0.10%,-12.60%,-0.10%
14-Dec-19,14860,"bridgeport-stamford-norwalk, ct",60,-4.90%,-11.10%,-6,-5.70%,-15.10%,-0.10%,-8.50%,0.00%
14-Dec-19,24860,"greenville-anderson-mauldin, sc",61,2.30%,-4.70%,-7,-8.60%,13.90%,0.60%,-0.40%,0.00%
14-Dec-19,35840,"north port-sarasota-bradenton, fl",62,5.70%,-16.50%,0,0.00%,-15.60%,-0.30%,-26.90%,-0.90%
14-Dec-19,35300,"new haven-milford, ct",63,0.00%,-17.10%,-14,-14.90%,-13.50%,0.20%,-14.50%,0.10%
14-Dec-19,19380,"dayton, oh",64,8.90%,-26.10%,-6,-9.20%,3.40%,1.10%,-29.30%,-0.80%
14-Dec-19,46520,"urban honolulu, hi",65,-5.40%,-1.10%,3,4.20%,-7.50%,-0.40%,-16.50%,-0.60%
14-Dec-19,10900,"allentown-bethlehem-easton, pa-nj",66,7.20%,-20.90%,-7,-8.80%,-8.70%,0.50%,-26.10%,-0.50%
14-Dec-19,17900,"columbia, sc",67,-1.70%,-10.30%,-15,-18.30%,11.60%,1.10%,90.00%,3.50%
14-Dec-19,12940,"baton rouge, la",68,1.70%,-0.60%,8,8.70%,12.30%,-0.40%,35.20%,0.30%
14-Dec-19,24660,"greensboro-high point, nc",69,11.20%,-19.10%,-5,-6.10%,28.30%,2.00%,42.20%,1.50%
14-Dec-19,23420,"fresno, ca",70,5.50%,-13.40%,-8,-13.10%,-13.00%,-0.50%,6.00%,0.40%
14-Dec-19,16700,"charleston-north charleston, sc",71,5.80%,-8.10%,-2,-2.30%,5.00%,0.40%,-31.00%,-1.50%
14-Dec-19,30780,"little rock-north little rock-conway, ar",72,8.10%,-22.10%,-7,-9.10%,2.90%,1.00%,-26.60%,-0.50%
14-Dec-19,15980,"cape coral-fort myers, fl",73,5.90%,-17.90%,-2,-2.70%,-16.70%,-0.30%,-22.60%,-0.50%
14-Dec-19,10420,"akron, oh",74,-3.20%,-2.80%,-9,-13.20%,13.00%,0.70%,-23.80%,-1.00%
14-Dec-19,21340,"el paso, tx",75,7.30%,-18.80%,-12,-13.50%,5850.00%,4.20%,,3.00%
14-Dec-19,37100,"oxnard-thousand oaks-ventura, ca",76,10.90%,-25.30%,-6,-9.40%,-17.50%,-0.30%,-57.60%,-3.00%
14-Dec-19,17820,"colorado springs, co",77,14.20%,-25.40%,-2,-3.30%,-1.60%,1.20%,-23.60%,-0.30%
14-Dec-19,31540,"madison, wi",78,7.60%,-6.70%,9,11.50%,-14.10%,-0.40%,-68.50%,-3.80%
14-Dec-19,12540,"bakersfield, ca",79,4.80%,-17.60%,-10,-15.20%,-25.10%,-1.00%,-26.70%,-0.80%
14-Dec-19,49180,"winston-salem, nc",80,19.60%,-12.50%,-16,-17.20%,37.60%,1.70%,23.00%,0.80%
14-Dec-19,45060,"syracuse, ny",81,1.40%,-7.40%,-6,-6.70%,-17.50%,-2.00%,-26.50%,-1.70%
14-Dec-19,19660,"deltona-daytona beach-ormond beach, fl",82,-1.40%,-11.20%,-6,-7.60%,3.20%,0.30%,-17.30%,-0.70%
14-Dec-19,14260,"boise city, id",83,8.80%,-2.90%,5,9.60%,-5.70%,-0.30%,69.30%,4.40%
14-Dec-19,48620,"wichita, ks",84,8.70%,-25.50%,2,3.00%,4.10%,-0.60%,-9.00%,-0.80%
14-Dec-19,45780,"toledo, oh",85,14.70%,-10.30%,-9,-12.50%,12.50%,0.30%,95.80%,2.80%
14-Dec-19,19780,"des moines-west des moines, ia",86,-8.70%,2.90%,-20,-21.30%,5.20%,0.00%,66.50%,2.30%
14-Dec-19,44140,"springfield, ma",87,8.00%,-18.60%,-7,-9.20%,-18.60%,-0.10%,-19.50%,-0.10%
14-Dec-19,29460,"lakeland-winter haven, fl",88,1.80%,-1.30%,3,4.50%,-15.70%,-1.10%,22.20%,0.70%
14-Dec-19,37340,"palm bay-melbourne-titusville, fl",89,7.20%,-22.10%,-3,-4.60%,-13.50%,0.00%,-44.90%,-2.40%
14-Dec-19,32580,"mcallen-edinburg-mission, tx",90,4.80%,-7.10%,-8,-8.80%,-12.90%,-0.30%,17.50%,0.70%
14-Dec-19,25420,"harrisburg-carlisle, pa",91,5.90%,-22.50%,-15,-17.00%,0.00%,1.10%,30.90%,2.50%
14-Dec-19,42540,"scranton--wilkes-barre--hazleton, pa",92,7.00%,-13.50%,-7,-6.70%,-21.50%,-0.40%,-26.90%,-0.80%
14-Dec-19,12260,"augusta-richmond county, ga-sc",93,8.00%,-16.30%,-12,-12.10%,22.50%,0.10%,-27.80%,-1.80%
14-Dec-19,49660,"youngstown-warren-boardman, oh-pa",94,0.80%,-7.00%,-5,-5.50%,-11.50%,-0.30%,-10.10%,-0.20%
14-Dec-19,44700,"stockton-lodi, ca",95,10.20%,-16.50%,1,1.90%,-4.70%,-0.10%,-54.20%,-3.50%
14-Dec-19,20500,"durham-chapel hill, nc",96,2.60%,0.50%,-9,-10.30%,23.50%,0.80%,27.80%,0.80%
14-Dec-19,38860,"portland-south portland, me",97,11.00%,-26.00%,-7,-7.40%,-5.20%,0.70%,-39.30%,-0.60%
14-Dec-19,44060,"spokane-spokane valley, wa",98,7.70%,-5.50%,-8,-11.30%,1.70%,0.10%,-55.50%,-2.70%
14-Dec-19,16860,"chattanooga, tn-ga",99,11.30%,-12.60%,-2,-2.70%,-8.30%,0.10%,-25.20%,-0.80%
14-Dec-19,27140,"jackson, ms",100,4.60%,-10.00%,-13,-12.10%,12.90%,0.80%,4.20%,0.40%
7-Dec-19,35620,"new york-newark-jersey city, ny-nj-pa",1,6.10%,-4.00%,1,1.30%,-10.00%,-0.80%,-3.10%,-0.40%
7-Dec-19,31080,"los angeles-long beach-anaheim, ca",2,11.80%,-28.00%,7,13.50%,-3.80%,0.60%,-58.60%,-3.20%
7-Dec-19,16980,"chicago-naperville-elgin, il-in-wi",3,0.30%,-1.60%,-1,-1.50%,7.00%,0.30%,-27.40%,-1.80%
7-Dec-19,19100,"dallas-fort worth-arlington, tx",4,-0.30%,-1.50%,-1,-1.50%,2.60%,0.10%,-28.70%,-2.60%
7-Dec-19,26420,"houston-the woodlands-sugar land, tx",5,-2.90%,-1.90%,-1,-1.50%,3.50%,0.10%,-28.40%,-2.00%
7-Dec-19,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,12.00%,-22.70%,-1,-1.40%,-19.80%,-0.20%,-19.50%,-0.20%
7-Dec-19,47900,"washington-arlington-alexandria, dc-va-md-wv",7,9.20%,-20.50%,-1,-1.70%,-8.90%,0.80%,-24.00%,-0.40%
7-Dec-19,33100,"miami-fort lauderdale-west palm beach, fl",8,5.10%,-9.20%,2,2.30%,-10.60%,-0.30%,-33.80%,-1.90%
7-Dec-19,12060,"atlanta-sandy springs-roswell, ga",9,3.10%,-2.80%,-1,-1.60%,6.80%,0.20%,1.70%,-0.10%
7-Dec-19,14460,"boston-cambridge-newton, ma-nh",10,9.40%,-14.20%,3,4.70%,1.10%,0.90%,-6.20%,0.30%
7-Dec-19,41860,"san francisco-oakland-hayward, ca",11,9.20%,-24.70%,6,13.30%,-6.00%,0.20%,-64.90%,-4.10%
7-Dec-19,19820,"detroit-warren-dearborn, mi",12,3.20%,-1.30%,4,7.40%,-11.80%,-0.70%,8.20%,0.60%
7-Dec-19,38060,"phoenix-mesa-scottsdale, az",13,11.30%,-26.80%,-1,-1.90%,-6.80%,0.40%,-21.60%,-0.80%
7-Dec-19,42660,"seattle-tacoma-bellevue, wa",14,6.40%,-25.90%,2,3.60%,-12.60%,-0.50%,-67.80%,-5.40%
7-Dec-19,33460,"minneapolis-st. paul-bloomington, mn-wi",15,1.40%,11.70%,-6,-9.50%,8.60%,0.30%,-43.20%,-3.00%
7-Dec-19,40140,"riverside-san bernardino-ontario, ca",16,3.50%,-21.70%,6,10.50%,-10.60%,0.10%,-44.30%,-2.30%
7-Dec-19,45300,"tampa-st. petersburg-clearwater, fl",17,4.90%,-14.90%,4,6.80%,-10.40%,-0.20%,8.20%,0.90%
7-Dec-19,41740,"san diego-carlsbad, ca",18,11.50%,-29.80%,5,10.60%,-4.30%,-1.40%,-47.20%,-3.80%
7-Dec-19,41180,"st. louis, mo-il",19,7.30%,-12.80%,0,0.00%,4.20%,0.60%,-34.90%,-2.10%
7-Dec-19,19740,"denver-aurora-lakewood, co",20,4.30%,-7.80%,4,7.40%,-1.50%,0.00%,11.00%,0.70%
7-Dec-19,12580,"baltimore-columbia-towson, md",21,4.80%,-11.70%,0,0.00%,-4.50%,0.40%,-12.70%,-0.10%
7-Dec-19,38300,"pittsburgh, pa",22,8.60%,-14.50%,-6,-6.90%,-10.90%,0.10%,-0.70%,0.50%
7-Dec-19,38900,"portland-vancouver-hillsboro, or-wa",23,0.10%,-15.90%,1,1.50%,0.60%,-1.80%,25.50%,-0.60%
7-Dec-19,16740,"charlotte-concord-gastonia, nc-sc",24,4.50%,-15.50%,-2,-3.10%,-8.80%,0.00%,-24.90%,-1.20%
7-Dec-19,36740,"orlando-kissimmee-sanford, fl",25,6.60%,-13.00%,0,0.00%,-3.20%,0.10%,-2.30%,0.10%
7-Dec-19,17460,"cleveland-elyria, oh",26,2.80%,-7.30%,-1,-1.40%,0.90%,0.20%,-2.80%,0.00%
7-Dec-19,41700,"san antonio-new braunfels, tx",27,-2.10%,11.00%,-6,-8.50%,22.80%,0.50%,13.30%,0.10%
7-Dec-19,17140,"cincinnati, oh-ky-in",28,8.30%,-21.40%,-4,-6.30%,2.90%,0.80%,-17.70%,-0.30%
7-Dec-19,40900,"sacramento--roseville--arden-arcade, ca",29,12.50%,-23.70%,2,3.50%,-0.60%,0.60%,-59.30%,-4.70%
7-Dec-19,28140,"kansas city, mo-ks",30,8.60%,-11.90%,-2,-2.70%,6.00%,-1.10%,14.30%,-0.60%
7-Dec-19,18140,"columbus, oh",31,5.80%,-7.80%,-2,-3.20%,11.50%,0.70%,9.40%,0.60%
7-Dec-19,26900,"indianapolis-carmel-anderson, in",32,6.70%,-8.70%,-4,-5.80%,-0.40%,-0.70%,24.00%,0.60%
7-Dec-19,29820,"las vegas-henderson-paradise, nv",33,-0.30%,8.50%,8,15.70%,3.00%,0.30%,27.70%,1.60%
7-Dec-19,12420,"austin-round rock, tx",34,1.00%,-13.40%,-6,-8.60%,5.70%,0.90%,-5.40%,0.20%
7-Dec-19,34980,"nashville-davidson--murfreesboro--franklin, tn",35,4.20%,-16.20%,-4,-8.20%,0.60%,0.90%,-5.10%,0.30%
7-Dec-19,41940,"san jose-sunnyvale-santa clara, ca",36,5.40%,-27.10%,6,13.00%,-11.40%,0.10%,-72.10%,-5.40%
